"ID"	"feed"	"time"	"text1"	"text2"	"TAG_country"	"TAG_ebola"
102248	"en_AUS_austra_int"	"2014-01-06 15:44:46"	"More arrests in Cambodia dissent"	"FIVE Cambodian land activists were arrested yesterday as they prepared for a rally at the French embassy, a rights group said."	"KHM"	""
102249	"en_AUS_austra_int"	"2014-01-06 15:44:46"	"'Urban miners' buried in e-waste"	"CHINA is primed to lead a worldwide surge in ""e-waste"" as millions of households start dumping white goods for newer models."	""	""
102250	"en_AUS_austra_int"	"2014-01-06 15:44:46"	"Rodman: No politics with my mate Kim"	"BASKETBALL legend Dennis Rodman is in North Korea, but says he will not raise any concerns because Kim Jong-Un is a friend."	""	""
102251	"en_AUS_austra_int"	"2014-01-06 15:44:46"	"Abe wants to explain shrine visit"	"JAPANESE Prime Minister Shinzo Abe says he wants to explain his visits to a shrine that honours the country's war dead to other leaders."	"JPN"	""
102252	"en_AUS_austra_int"	"2014-01-06 15:44:46"	"Family in quandary over Bali autopsies"	"THE Bischoff family want the bodies of their family members who died in Bali sent back to Australia for an autopsy."	""	""
104292	"en_AUS_austra_int"	"2014-01-06 21:44:42"	"'Jihad Jane' jailed for terror plot"	"A US woman involved in a plot to kill a Swedish artist who'd offended Muslims has been jailed after saying she was once obsessed with jihad."	""	""
104599	"en_AUS_austra_int"	"2014-01-06 22:44:42"	"Merkel breaks pelvis in ski accident"	"GERMAN Chancellor Angela Merkel cracked her pelvis during a skiing accident in the Swiss Alps and will have to cut back on her work schedule."	"DEU"	""
105303	"en_AUS_austra_int"	"2014-01-07 00:44:41"	"Monster waves batter Britain"	"WAVES up to 8.2 metres high have slammed into Britain's southwestern coast, as lashing winds and heavy rain battered parts of the UK."	"GBR"	""
105501	"en_AUS_austra_int"	"2014-01-07 01:44:41"	"US hastens drone, missile aid to Iraq"	"THE US will speed up its deliveries of missiles and drones to Iraq as Baghdad battles a resurgence of al-Qa'ida linked militants."	"IRQ"	""
105501	"en_AUS_austra_int"	"2014-01-07 01:44:41"	"US hastens drone, missile aid to Iraq"	"THE US will speed up its deliveries of missiles and drones to Iraq as Baghdad battles a resurgence of al-Qa'ida linked militants."	"USA"	""
